epoch,train_loss,val_cindex,lr,epoch_sec
1,1.568399851949324,0.4364913289835476,0.0001,1056.22
2,1.5734842160004523,0.42561674386190124,0.0001,1230.64
3,1.5803557370290462,0.4553505226299095,0.0001,1059.71
4,1.5688787923453333,0.437747872044869,0.0001,1226.34
5,1.548411161881793,0.4565357082443931,0.0001,1237.19
6,1.5550858497111815,0.4434763899217205,0.0001,1053.05
7,1.5918153417757905,0.4813519809298129,0.0001,1054.3
8,1.5310474866495345,0.43061140292000466,0.0001,1052.85
9,1.5352841131984236,0.4241606172817594,0.0001,1051.87
10,1.5394957409626124,0.4356846638357924,0.0001,1051.52
11,1.5459752263098605,0.4335493737387934,5e-05,1052.03
12,1.5400087504595106,0.4326199158271904,5e-05,1052.39
13,1.5617744647148952,0.4350558489743182,5e-05,1202.36
14,1.5105807321647993,0.4478914961121058,5e-05,1051.9
15,1.5391479505898473,0.4442203909156537,2.5e-05,1054.93
